0.933333,0,0.845169,0.435602,0.422584,0.435602,0.806153,0.586816,0.422584,0.716675,0.671919,0.875697
0.800000,0,0.743340,0.492518,0.371670,0.492518,0.709268,0.497810,0.371670,0.621701,0.590857,0.767533
0.941176,0,0.922040,0.281069,0.461020,0.281069,0.907187,0.529226,0.461020,0.725949,0.737243,0.938221
0.823529,0,0.781342,0.480292,0.390671,0.480292,0.743329,0.538595,0.390671,0.660890,0.620537,0.801616
0.807843,0,0.762238,0.489135,0.381119,0.489135,0.715002,0.560443,0.381119,0.662438,0.602673,0.812388
0.807843,0,0.767411,0.456671,0.383705,0.456671,0.729973,0.526795,0.383705,0.648097,0.609635,0.798109
0.400000,1,0.767816,0.465682,0.383908,0.465682,0.732900,0.517430,0.383908,0.643595,0.610367,0.736072
0.905882,0,0.763255,0.472457,0.381628,0.472457,0.724877,0.527518,0.381628,0.646412,0.605894,0.833460
0.470588,1,0.817468,0.476140,0.408734,0.476140,0.783514,0.546973,0.408734,0.682952,0.650544,0.741368
0.792157,0,0.802582,0.490496,0.401291,0.490496,0.761069,0.567229,0.401291,0.685756,0.636856,0.770857
0.800000,0,0.772759,0.363660,0.386379,0.363660,0.740664,0.509902,0.386379,0.642253,0.615014,0.784636
0.913725,0,0.810322,0.438908,0.405161,0.438908,0.772126,0.559312,0.405161,0.685610,0.643856,0.828590
0.839216,0,0.761340,0.492341,0.380670,0.492341,0.716804,0.549543,0.380670,0.656525,0.602726,0.804159
0.976471,0,0.776678,0.483806,0.388339,0.483806,0.719929,0.607854,0.388339,0.693354,0.611418,0.766240
0.937255,0,0.816386,0.488735,0.408193,0.488735,0.782142,0.547430,0.408193,0.682646,0.649604,0.780458
0.886275,0,0.817129,0.488920,0.408565,0.488920,0.778518,0.565700,0.408565,0.692185,0.649243,0.778098
0.874510,0,0.797969,0.478416,0.398984,0.478416,0.760478,0.547981,0.398984,0.673813,0.634054,0.792074
0.874510,0,0.751024,0.429973,0.375512,0.429973,0.718281,0.497985,0.375512,0.625567,0.597328,0.730523
0.870588,0,0.803311,0.373180,0.401655,0.373180,0.772788,0.523772,0.401655,0.664303,0.640048,0.815648
0.882353,0,0.846667,0.477424,0.423333,0.477424,0.819753,0.536823,0.423333,0.692324,0.675240,0.857876
0.870588,0,0.820433,0.385321,0.410217,0.385321,0.794498,0.516193,0.410217,0.668970,0.654534,0.841813
0.917647,0,0.825459,0.427828,0.412730,0.427828,0.789028,0.562504,0.412730,0.694704,0.656578,0.827202
0.933333,0,0.879951,0.379239,0.439976,0.379239,0.851402,0.565093,0.439976,0.723033,0.701961,0.917206
0.776471,0,0.762551,0.493964,0.381275,0.493964,0.719188,0.545962,0.381275,0.655323,0.604015,0.766632
0.862745,0,0.791518,0.488597,0.395759,0.488597,0.748727,0.564448,0.395759,0.678892,0.627557,0.843778
0.803922,0,0.788445,0.449512,0.394223,0.449512,0.751021,0.541181,0.394223,0.665695,0.626481,0.794094
